time,setpoint,pressure,control_signal
18.85,70,71.1138,26.0312
18.9,70,71.101,26.0285
18.95,70,71.0883,26.0258
19,70,71.0756,26.0234
19.05,70,71.063,26.0212
19.1,70,71.0504,26.0191
19.15,70,71.0378,26.0172
19.2,70,71.0254,26.0154
19.25,70,71.013,26.0138
19.3,70,71.0006,26.0123
19.35,70,70.9883,26.011
19.4,70,70.9761,26.0098
19.45,70,70.964,26.0087
19.5,70,70.9519,26.0078
19.55,70,70.9399,26.007
19.6,70,70.928,26.0063
19.65,70,70.9161,26.0057
19.7,70,70.9043,26.0052
19.75,70,70.8927,26.0049
19.8,70,70.8811,26.0046
19.85,70,70.8695,26.0045
19.9,70,70.8581,26.0045
19.95,70,70.8468,26.0045
